鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯,縣市名稱,郵遞區號,交易年,交易月,交易日,建物坪數,單坪價格,建築完成年,建築完成月,建築完成日,交易時屋齡,車位有無,latitude,longitude,郵遞區號6碼,土地位置建物門牌,distance(警察局)(km),附近1km是否有警察局,distance(捷運站)(km),附近1km是否有捷運站,distance(超商&超市)(km),附近1km是否有超商&超市,distance(寺廟)(km),附近1km是否有寺廟,distance(臺北市殯儀館)(km),附近1km是否有殯儀館,distance(醫院)(km),附近1km是否有醫院,路名
中山區,房地(土地+建物),3.31,土地1建物1車位0,七層,十二層,1,住家用,鋼筋混凝土造,44.510000000000005,0,0,0,無,有,5980000,,0.0,0,親友、員工或其他特殊關係間之交易。；,30.47,0.0,4.38,1,台北市,104,2020,1,15,13.464275,444138.2844601733,1980,8,15,40,0,25.058196,121.524317,104619.0,臺北市中山區民生東路一段２５號七樓之３２,0.2553211537188592,1,0.3774005893341131,1,0.1438424063720505,1,0.2743898894435172,1,1.0646917011812893,0,0.8153115059734343,1,民生東路一段
中山區,房地(土地+建物),23.0,土地1建物1車位0,二層,五層,2,住家用,鋼筋混凝土造,92.95,0,1,1,有,無,21500000,,0.0,0,含增建或未登記建物。；,74.44,0.0,18.51,0,台北市,104,2019,12,13,28.117375,764651.7500300081,1976,1,28,43,0,25.054239,121.520781,104016.0,臺北市中山區中山北路二段３６巷３４號２樓,0.2830666651762298,1,0.1907260864440143,1,0.1034177178093031,1,0.0700539445142862,1,1.6070208687021763,0,1.3504879607225977,0,中山北路二段
中山區,房地(土地+建物)+車位,4.7,土地1建物1車位1,三層,十四層,1,住家用,鋼筋混凝土造,63.89,1,1,1,有,有,10000000,坡道機械,19.78,0,親友、員工或其他特殊關係間之交易。；,23.44,0.74,3.11,1,台北市,104,2019,12,4,19.326725,517418.23821676977,2003,1,22,16,1,25.060949,121.526017,104613.0,臺北市中山區林森北路479號3樓之6,0.2289838329135601,1,0.1758037057953857,1,0.1151478266304138,1,0.4365833731123913,1,0.7814503146159796,1,0.5611773926548659,1,林森北路
中山區,房地(土地+建物),18.75,土地2建物1車位0,四層,四層,2,住家用,鋼筋混凝土造,50.6,2,1,1,有,無,9400000,,0.0,0,含增建或未登記建物。；,47.77,0.0,2.83,0,台北市,104,2019,12,21,15.3065,614118.1850847679,1973,11,9,46,0,25.045474,121.535971,104097.0,臺北市中山區八德路二段88巷3號四樓,0.5695462048938039,1,0.4348402848049082,1,0.2606594981168799,1,0.317265798257067,1,1.969371710428514,0,0.5682303716652448,1,八德路二段
中山區,房地(土地+建物),5.65,土地2建物1車位0,三層,十二層,1,商業用,鋼筋混凝土造,68.22,2,1,1,有,有,8990000,,0.0,0,,50.7,0.0,4.39,1,台北市,104,2019,12,13,20.63655,435634.8323726592,1981,4,22,38,0,25.05021,121.524996,104007.0,臺北市中山區林森北路１０５號三樓之２,0.3341659403285593,1,0.5371370846388344,1,0.0680042305682557,1,0.5432750289865201,1,1.6600849721186808,0,0.9007258329909305,1,林森北路
中山區,房地(土地+建物),32.63,土地1建物1車位0,三層,七層,3,住家用,鋼筋混凝土造,152.23,4,2,2,有,有,26000000,,0.0,0,,120.23,0.0,14.72,1,台北市,104,2020,1,11,46.049575,564608.9024708697,1983,2,25,37,0,25.0652554,121.5376206,104066.0,臺北市中山區建國北路三段７５巷５號三樓,0.5222795882636484,1,0.4293849320334055,1,0.1016625550445833,1,0.169382048841595,1,0.4889044431322739,1,0.74179424838889,1,建國北路三段
中山區,房地(土地+建物),22.21,土地1建物1車位0,二層,七層,3,住家用,鋼筋混凝土造,132.57999999999998,3,2,2,有,有,25500000,,0.0,0,含增建或未登記建物。；,101.35,0.0,10.56,1,台北市,104,2019,12,27,40.10544999999999,635823.8094822526,1980,10,27,39,0,25.059354,121.540585,104081.0,臺北市中山區龍江路252號2樓之4,0.6932644796630736,1,0.5581420193297605,1,0.1158155530044424,1,0.7988532520501601,1,0.8356511294986269,1,0.9417803143329032,1,龍江路
中山區,房地(土地+建物)+車位,17.0,土地2建物1車位1,二層,七層,3,住家用,鋼筋混凝土造,89.28,2,1,1,有,有,17500000,塔式車位,23.15,0,含增建或未登記建物。；,35.54,2.31,6.53,1,台北市,104,2019,11,26,27.0072,647975.3547202228,2015,3,12,4,1,25.055711,121.530584,104088.0,臺北市中山區松江路164巷63號2樓之1,0.534275802666844,1,0.8727010218744726,1,0.0341807184578327,1,0.4255095024642408,1,0.8658860214748592,1,0.6464907467307768,1,松江路
中山區,房地(土地+建物)+車位,8.99,土地2建物1車位1,六層,九層,3,住家用,鋼筋混凝土造,62.64,2,1,1,有,有,14900000,升降機械,11.33,0,含增建或未登記建物。；,28.61,4.46,0.83,1,台北市,104,2019,12,29,18.9486,786337.7769333882,2008,12,2,11,1,25.0567156,121.530638,104086.0,臺北市中山區松江路184巷26弄6號6樓,0.4440764126040025,1,0.7764406080126006,1,0.1086020396176287,1,0.4739027651595204,1,0.7595989892222116,1,0.5357747780463961,1,松江路
中山區,房地(土地+建物)+車位,53.42,土地1建物1車位3,三層,十四層,1,住家用,鋼骨鋼筋混凝土造,429.88,4,2,2,有,有,103500000,坡道平面,109.71,12000000,,174.11,15.63,16.0,1,台北市,104,2019,12,10,130.0387,795916.907812828,2011,5,3,8,1,25.0495163,121.5298673,104084.0,臺北市中山區吉林路８號３樓,0.7031929887016378,1,0.8433476609024597,1,0.0987105967304942,1,0.2433815008415966,1,1.5458728580239771,0,0.417194201928933,1,吉林路
