鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯,縣市名稱,郵遞區號,交易年,交易月,交易日,建物坪數,單坪價格,建築完成年,建築完成月,建築完成日,交易時屋齡,車位有無,PK_key,latitude,longitude,郵遞區號6碼,土地位置建物門牌
中山區,房地(土地+建物)+車位,50.48,土地1建物1車位1,三層,九層,3,住家用,鋼筋混凝土造,235.22,0,0,0,無,有,75000000,一樓平面,0.0,0,含地上法定空地停車位壹個，依共有約定專用權分管方式約定使用。,128.83,10.61,15.31,1,台北市,104,2020,3,20,71.15405,1054051.03434028,2017,5,26,3,1,RPUNMLTKNHPFFCA88CA,25.0775412,121.5477882,,臺北市中山區明水路399號3樓
中山區,房地(土地+建物)+車位,50.48,土地1建物1車位1,二層,九層,3,住家用,鋼筋混凝土造,235.22,3,2,2,有,有,73000000,一樓平面,0.0,0,含一樓法定空地停車位壹個，依共有約定專用權分管方式約定使用。,128.83,10.61,15.31,1,台北市,104,2020,3,20,71.15405,1025943.0067578724,2017,5,26,3,1,RPWNMLTKNHPFFCA09CA,25.0775412,121.5477882,,臺北市中山區明水路399號2樓
中山區,房地(土地+建物)+車位,42.62,土地1建物1車位3,七層,十七層,1,住家用,見其他登記事項,556.99,3,3,3,有,有,158000000,坡道平面,89.97,10500000,,264.25,0.0,45.76,1,台北市,104,2020,3,11,168.489475,937744.0341599972,2014,12,22,6,1,RPXNMLMJKIPFFCA18CA,25.0620854,121.5230103,,臺北市中山區中山北路二段１４７號七樓
中山區,房地(土地+建物),5.96,土地1建物1車位0,三層,五層,5,商業用,鋼筋混凝土造,36.09,0,0,0,無,有,5950000,,0.0,0,含增建或未登記建物。,19.3,0.0,5.25,0,台北市,104,2020,3,1,10.917225,545010.2933666751,1987,12,15,33,0,RPQPMLLJMHPFFCA77DA,25.050161,121.523192,,臺北市中山區中山北路一段８３巷１６之１號３樓之７
中山區,房地(土地+建物),14.83,土地2建物1車位0,十五層,十六層,1,住家用,鋼筋混凝土造,137.39,3,2,2,有,有,29760000,,0.0,0,含增建或未登記建物。,78.59,1.49,10.41,1,台北市,104,2020,2,21,41.560475,716064.9631651227,1996,7,10,24,0,RPTOMLQJMHPFFCA48DA,25.054423,121.542666,,臺北市中山區長春路３６８號１５樓
中山區,房地(土地+建物),32.25,土地2建物1車位0,三層,四層,2,住家用,鋼筋混凝土造,92.29,3,2,2,有,無,13000000,,0.0,0,親友、員工或其他特殊關係間之交易。；,80.1,0.0,12.19,0,台北市,104,2020,2,3,27.917725,465653.9886398336,1977,9,14,43,0,RPUNMLRJMHPFFCA58DA,25.119382,121.467771,,臺北市中山區龍江路415巷22號3樓
中山區,房地(土地+建物),15.54,土地2建物1車位0,七層,十七層,1,住家用,鋼筋混凝土造,105.37,2,2,1,有,有,26970000,,0.0,0,,60.01,6.83,4.87,1,台北市,104,2020,3,19,31.874425,846132.9106328978,2019,9,18,1,0,RPQNMLTJMHPFFCA28CA,25.064652,121.537915,,臺北市中山區五常街11巷5號七樓之3
中山區,房地(土地+建物),19.4,土地1建物1車位0,四層,十四層,1,住家用,鋼筋混凝土造,105.96,3,2,2,有,無,20800000,,0.0,0,,77.53,0.0,11.36,1,台北市,104,2020,3,17,32.052899999999994,648927.2421528163,1983,6,20,37,0,RPXTMLSJMHPFFCA86CA,25.053349,121.536402,,臺北市中山區建國北路二段３４號四樓之１
中山區,房地(土地+建物),4.6,土地1建物1車位0,四層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,47.68,0,0,0,無,有,12520000,,0.0,0,,28.02,2.45,0.0,1,台北市,104,2019,10,30,14.4232,868045.9260080981,2020,1,20,-1,0,RPXOMLTJMHPFFCA09CA,25.062905,121.524956,,臺北市中山區民權東路一段５７之１號四樓
中山區,房地(土地+建物),4.6,土地1建物1車位0,五層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,47.68,0,0,0,無,有,12500000,,0.0,0,,28.02,2.45,0.0,1,台北市,104,2019,9,12,14.4232,866659.2711742193,2020,1,20,-1,0,RPOPMLTJMHPFFCA28CA,25.062905,121.524956,,臺北市中山區民權東路一段５７之１號五樓
中山區,房地(土地+建物),4.6,土地1建物1車位0,六層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,47.68,0,0,0,無,有,12520000,,0.0,0,,28.02,2.45,0.0,1,台北市,104,2019,9,17,14.4232,868045.9260080981,2020,1,20,-1,0,RPQPMLTJMHPFFCA48CA,25.062905,121.524956,,臺北市中山區民權東路一段５７之１號六樓
中山區,房地(土地+建物)+車位,7.65,土地1建物1車位1,七層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,117.72,0,0,0,無,有,23000000,升降平面,38.92,2100000,,36.63,6.14,7.59,1,台北市,104,2019,9,22,35.610299999999995,645880.545797143,2020,1,20,-1,1,RPRPMLTJMHPFFCA58CA,25.062906,121.524941,,臺北市中山區民權東路一段５７號七樓
中山區,房地(土地+建物),4.6,土地1建物1車位0,七層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,47.68,0,0,0,無,有,12800000,,0.0,0,,28.02,2.45,0.0,1,台北市,104,2019,9,10,14.4232,887459.0936824006,2020,1,20,-1,0,RPSPMLTJMHPFFCA68CA,25.062902,121.525007,,臺北市中山區民權東路一段５９之１號七樓
中山區,房地(土地+建物),4.6,土地1建物1車位0,八層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,47.68,0,0,0,無,有,12880000,,0.0,0,,28.02,2.45,0.0,1,台北市,104,2019,8,31,14.4232,893005.7130179156,2020,1,20,-1,0,RPUPMLTJMHPFFCA88CA,25.062905,121.524956,,臺北市中山區民權東路一段５７之１號八樓
中山區,房地(土地+建物),6.88,土地1建物1車位0,八層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,71.41,0,0,0,無,有,18800000,,0.0,0,,33.48,6.18,5.97,1,台北市,104,2019,11,15,21.601525,870308.9249485858,2020,1,20,-1,0,RPPQMLTJMHPFFCA48CA,25.062911,121.525044,,臺北市中山區民權東路一段６１號八樓
中山區,房地(土地+建物)+車位,4.64,土地1建物1車位1,九層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,86.6,0,0,0,無,有,15500000,升降平面,38.92,2500000,,28.02,2.45,0.0,1,台北市,104,2019,9,4,26.1965,591682.0949363464,2020,1,20,-1,1,RPSQMLTJMHPFFCA78CA,25.062902,121.525007,,臺北市中山區民權東路一段５９之１號九樓
中山區,房地(土地+建物)+車位,7.65,土地1建物1車位1,二層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,117.72,0,0,0,無,有,22600000,升降平面,38.92,2300000,,36.63,6.14,7.59,1,台北市,104,2019,11,12,35.610299999999995,634647.8406528449,2020,1,20,-1,1,RPTNMLTJMHPFFCA58CA,25.062906,121.524941,,臺北市中山區民權東路一段５７號二樓
中山區,房地(土地+建物)+車位,7.65,土地1建物1車位1,三層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,117.72,0,0,0,無,有,22900000,升降平面,38.92,2100000,,36.63,6.14,7.59,1,台北市,104,2019,8,13,35.610299999999995,643072.3695110686,2020,1,20,-1,1,RPPOMLTJMHPFFCA28CA,25.062906,121.524941,,臺北市中山區民權東路一段５７號三樓
中山區,房地(土地+建物),7.41,土地1建物1車位0,三層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,76.78999999999999,0,0,0,無,有,20150000,,0.0,0,,36.63,6.14,6.3,1,台北市,104,2018,8,9,23.228975,867451.1036324246,2020,1,20,-2,0,RPTOMLTJMHPFFCA68CA,25.062911,121.525007,,臺北市中山區民權東路一段５９號三樓
中山區,房地(土地+建物),30.8,土地1建物1車位0,三層,五層,2,住家用,鋼筋混凝土造,129.21,3,2,1,有,無,12400000,,0.0,0,親友、員工或其他特殊關係間之交易。；親友間買賣,123.95,0.0,5.26,0,台北市,104,2020,1,8,39.086025,317248.93999837537,1976,9,11,44,0,RPPNMLPJMHPFFCA77CA,25.064176,121.525026,,臺北市中山區雙城街１３巷１１之１號三樓
