土地位置建物門牌,latitude,longitude,Unnamed: 0,鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯,縣市名稱,郵遞區號,交易年,交易月,交易日,里,交易座標橫坐標,交易座標綜座標,建物坪數,單坪價格,建築完成年,建築完成月,建築完成日,交易時屋齡,車位有無
臺北市中山區林森北路３４９號２０樓之１,25.056861,121.525666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區建國北路一段150號四樓之2,25.051368,121.536321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區建國北路一段７號十五樓,25.0464642,121.5370622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區長春路６２號５樓之２,25.0548211,121.5262593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區林森北路483號3樓之2,25.0611441,121.5257413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區民生東路二段８３號七樓之１８,25.058123,121.530731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區德惠街１０號３樓之２,25.06657,121.52367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區林森北路２８２號六樓之８,25.055491,121.525337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區民生東路二段８３號四樓之３５,25.058123,121.530731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區農安街１２之３號四樓,25.064823,121.523891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區林森北路416巷1號十樓之3,25.0597912,121.5250618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區長春路２８號五樓之５,25.0548348,121.5247678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區長春路８８號十一樓之８,25.054789,121.526949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區雙城街３巷２號十一樓之３,25.063223,121.524594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區中山北路二段１８３號十三樓之１,25.063408,121.522706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區中山北路二段１８３號八樓之２,25.063408,121.522706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區松江路１８４巷２６弄６號５樓之８,25.0567156,121.530638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區天祥路５９號五樓之3,25.063294,121.520893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區民權西路６５號八樓,25.0630276,121.5202701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區中山北路二段１８３號十七樓之２,25.063408,121.522706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區中山北路二段１１８號五樓之７,25.061013,121.522733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區農安街２巷２０號３樓之１,25.064039,121.52297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區錦州街１６號七樓之３,25.060244,121.524085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區新生北路一段１０８之３號十樓之７,25.04958,121.528256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區德惠街４５號五樓之７,25.066743,121.526995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區錦州街３６３號５樓之２,25.0603085,121.540123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區建國北路三段７１號十樓之８,25.064995,121.53723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區撫順街２５號１０樓之４,25.06361,121.520311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區民生西路16號12樓之5,25.057703,121.52215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區雙城街３巷２號７樓之１,25.063223,121.524594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區松江路330巷53號6樓之3,25.061231,121.531209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區五常街１１巷3號六樓之2,25.064527,121.538121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區五常街11巷7號十樓,25.064718,121.53791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區新生北路二段２８巷１號８樓之１,25.053958,121.527035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區中山北路一段１１５號２０樓,25.051189,121.522518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
